run_id,phase,order,task_id,condition_id,baseline_condition_id,variant_id,repetition,seed
cnf-88-0001,confirmation,1,cnf-task-09,5,,v2,5,88
cnf-88-0002,confirmation,2,cnf-task-02,2,1,v3,12,88
cnf-88-0003,confirmation,3,cnf-task-03,6c,5,v3,9,88
cnf-88-0004,confirmation,4,cnf-task-02,1,,v1,2,88
cnf-88-0005,confirmation,5,cnf-task-01,6c,5,v1,4,88
cnf-88-0006,confirmation,6,cnf-task-12,1,,v2,6,88
cnf-88-0007,confirmation,7,cnf-task-10,1,,v3,12,88
cnf-88-0008,confirmation,8,cnf-task-07,2,1,v1,1,88
cnf-88-0009,confirmation,9,cnf-task-12,2,1,v3,11,88
cnf-88-0010,confirmation,10,cnf-task-03,6c,5,v2,8,88
cnf-88-0011,confirmation,11,cnf-task-08,5,,v3,12,88
cnf-88-0012,confirmation,12,cnf-task-06,5,,v3,10,88
cnf-88-0013,confirmation,13,cnf-task-12,2,1,v1,2,88
cnf-88-0014,confirmation,14,cnf-task-06,6c,5,v2,5,88
cnf-88-0015,confirmation,15,cnf-task-12,2,1,v2,5,88
cnf-88-0016,confirmation,16,cnf-task-07,5,,v1,4,88
cnf-88-0017,confirmation,17,cnf-task-07,1,,v2,7,88
cnf-88-0018,confirmation,18,cnf-task-08,6c,5,v1,2,88
cnf-88-0019,confirmation,19,cnf-task-06,1,,v3,12,88
cnf-88-0020,confirmation,20,cnf-task-04,5,,v3,9,88
cnf-88-0021,confirmation,21,cnf-task-04,6c,5,v2,6,88
cnf-88-0022,confirmation,22,cnf-task-11,1,,v3,12,88
cnf-88-0023,confirmation,23,cnf-task-04,1,,v2,8,88
cnf-88-0024,confirmation,24,cnf-task-12,6c,5,v3,10,88
cnf-88-0025,confirmation,25,cnf-task-02,6c,5,v1,3,88
cnf-88-0026,confirmation,26,cnf-task-07,2,1,v3,12,88
cnf-88-0027,confirmation,27,cnf-task-09,2,1,v1,1,88
cnf-88-0028,confirmation,28,cnf-task-12,1,,v1,1,88
cnf-88-0029,confirmation,29,cnf-task-12,6c,5,v3,11,88
cnf-88-0030,confirmation,30,cnf-task-03,1,,v1,1,88
cnf-88-0031,confirmation,31,cnf-task-03,5,,v1,2,88
cnf-88-0032,confirmation,32,cnf-task-07,5,,v3,9,88
cnf-88-0033,confirmation,33,cnf-task-02,1,,v2,5,88
cnf-88-0034,confirmation,34,cnf-task-12,1,,v2,7,88
cnf-88-0035,confirmation,35,cnf-task-03,5,,v3,9,88
cnf-88-0036,confirmation,36,cnf-task-11,2,1,v2,6,88
cnf-88-0037,confirmation,37,cnf-task-11,1,,v2,6,88
cnf-88-0038,confirmation,38,cnf-task-02,1,,v3,10,88
cnf-88-0039,confirmation,39,cnf-task-09,2,1,v2,7,88
cnf-88-0040,confirmation,40,cnf-task-02,5,,v1,2,88
cnf-88-0041,confirmation,41,cnf-task-10,5,,v3,11,88
cnf-88-0042,confirmation,42,cnf-task-01,6c,5,v3,10,88
cnf-88-0043,confirmation,43,cnf-task-10,1,,v1,1,88
cnf-88-0044,confirmation,44,cnf-task-01,5,,v3,12,88
cnf-88-0045,confirmation,45,cnf-task-09,5,,v2,6,88
cnf-88-0046,confirmation,46,cnf-task-06,5,,v2,6,88
cnf-88-0047,confirmation,47,cnf-task-04,6c,5,v3,12,88
cnf-88-0048,confirmation,48,cnf-task-02,2,1,v1,1,88
cnf-88-0049,confirmation,49,cnf-task-06,2,1,v3,11,88
cnf-88-0050,confirmation,50,cnf-task-06,2,1,v1,4,88
cnf-88-0051,confirmation,51,cnf-task-11,5,,v1,3,88
cnf-88-0052,confirmation,52,cnf-task-10,1,,v1,4,88
cnf-88-0053,confirmation,53,cnf-task-01,1,,v2,6,88
cnf-88-0054,confirmation,54,cnf-task-01,6c,5,v3,12,88
cnf-88-0055,confirmation,55,cnf-task-02,5,,v2,6,88
cnf-88-0056,confirmation,56,cnf-task-11,6c,5,v3,10,88
cnf-88-0057,confirmation,57,cnf-task-04,1,,v3,9,88
