run_id,phase,order,task_id,condition_id,baseline_condition_id,variant_id,repetition,seed
scr-99-0001,screening,1,task-01,6c,,v1,1,99
scr-99-0002,screening,2,task-04,6c,,v2,2,99
scr-99-0003,screening,3,task-04,6a,,v3,3,99
scr-99-0004,screening,4,task-01,6b,,v1,1,99
scr-99-0005,screening,5,task-04,2,,v3,3,99
scr-99-0006,screening,6,task-02,6c,,v1,1,99
scr-99-0007,screening,7,task-03,3,,v3,3,99
scr-99-0008,screening,8,task-02,6a,,v1,1,99
scr-99-0009,screening,9,task-04,4,,v1,1,99
scr-99-0010,screening,10,task-02,5,,v2,2,99
scr-99-0011,screening,11,task-03,6a,,v2,2,99
scr-99-0012,screening,12,task-04,1,,v3,3,99
scr-99-0013,screening,13,task-03,3,,v2,2,99
scr-99-0014,screening,14,task-03,5,,v2,2,99
scr-99-0015,screening,15,task-01,6a,,v1,1,99
scr-99-0016,screening,16,task-02,6c,,v2,2,99
scr-99-0017,screening,17,task-01,5,,v3,3,99
scr-99-0018,screening,18,task-03,2,,v2,2,99
scr-99-0019,screening,19,task-02,5,,v1,1,99
scr-99-0020,screening,20,task-01,3,,v1,1,99
scr-99-0021,screening,21,task-02,1,,v1,1,99
scr-99-0022,screening,22,task-01,6a,,v2,2,99
scr-99-0023,screening,23,task-03,6c,,v1,1,99
scr-99-0024,screening,24,task-03,6a,,v3,3,99
scr-99-0025,screening,25,task-03,6a,,v1,1,99
scr-99-0026,screening,26,task-03,6c,,v3,3,99
scr-99-0027,screening,27,task-04,1,,v1,1,99
scr-99-0028,screening,28,task-01,4,,v1,1,99
scr-99-0029,screening,29,task-01,2,,v2,2,99
scr-99-0030,screening,30,task-02,6b,,v1,1,99
scr-99-0031,screening,31,task-01,6b,,v3,3,99
scr-99-0032,screening,32,task-03,4,,v2,2,99
scr-99-0033,screening,33,task-03,3,,v1,1,99
scr-99-0034,screening,34,task-02,1,,v3,3,99
scr-99-0035,screening,35,task-02,3,,v1,1,99
scr-99-0036,screening,36,task-02,6b,,v3,3,99
scr-99-0037,screening,37,task-01,1,,v2,2,99
scr-99-0038,screening,38,task-01,3,,v2,2,99
scr-99-0039,screening,39,task-04,3,,v3,3,99
scr-99-0040,screening,40,task-02,6a,,v3,3,99
scr-99-0041,screening,41,task-04,5,,v3,3,99
scr-99-0042,screening,42,task-03,6b,,v1,1,99
scr-99-0043,screening,43,task-03,1,,v3,3,99
scr-99-0044,screening,44,task-02,2,,v2,2,99
scr-99-0045,screening,45,task-04,4,,v3,3,99
scr-99-0046,screening,46,task-03,4,,v1,1,99
scr-99-0047,screening,47,task-01,3,,v3,3,99
scr-99-0048,screening,48,task-03,6c,,v2,2,99
scr-99-0049,screening,49,task-01,2,,v1,1,99
scr-99-0050,screening,50,task-04,3,,v1,1,99
scr-99-0051,screening,51,task-02,5,,v3,3,99
scr-99-0052,screening,52,task-01,5,,v1,1,99
scr-99-0053,screening,53,task-02,4,,v1,1,99
scr-99-0054,screening,54,task-04,6b,,v1,1,99
scr-99-0055,screening,55,task-01,2,,v3,3,99
scr-99-0056,screening,56,task-02,4,,v2,2,99
scr-99-0057,screening,57,task-01,6c,,v3,3,99
scr-99-0058,screening,58,task-01,5,,v2,2,99
scr-99-0059,screening,59,task-04,1,,v2,2,99
scr-99-0060,screening,60,task-01,1,,v1,1,99
scr-99-0061,screening,61,task-02,4,,v3,3,99
scr-99-0062,screening,62,task-04,6a,,v2,2,99
scr-99-0063,screening,63,task-01,1,,v3,3,99
scr-99-0064,screening,64,task-04,6c,,v3,3,99
scr-99-0065,screening,65,task-02,6a,,v2,2,99
scr-99-0066,screening,66,task-03,5,,v1,1,99
scr-99-0067,screening,67,task-04,4,,v2,2,99
scr-99-0068,screening,68,task-04,5,,v1,1,99
scr-99-0069,screening,69,task-01,4,,v2,2,99
scr-99-0070,screening,70,task-02,6b,,v2,2,99
scr-99-0071,screening,71,task-04,6b,,v2,2,99
scr-99-0072,screening,72,task-03,4,,v3,3,99
scr-99-0073,screening,73,task-01,6b,,v2,2,99
scr-99-0074,screening,74,task-04,6b,,v3,3,99
scr-99-0075,screening,75,task-04,5,,v2,2,99
scr-99-0076,screening,76,task-02,6c,,v3,3,99
scr-99-0077,screening,77,task-02,2,,v1,1,99
scr-99-0078,screening,78,task-04,2,,v1,1,99
scr-99-0079,screening,79,task-03,2,,v3,3,99
scr-99-0080,screening,80,task-04,6c,,v1,1,99
scr-99-0081,screening,81,task-03,5,,v3,3,99
scr-99-0082,screening,82,task-04,3,,v2,2,99
scr-99-0083,screening,83,task-04,6a,,v1,1,99
scr-99-0084,screening,84,task-03,6b,,v3,3,99
scr-99-0085,screening,85,task-03,6b,,v2,2,99
scr-99-0086,screening,86,task-03,1,,v2,2,99
scr-99-0087,screening,87,task-02,3,,v3,3,99
scr-99-0088,screening,88,task-01,4,,v3,3,99
scr-99-0089,screening,89,task-01,6a,,v3,3,99
scr-99-0090,screening,90,task-02,3,,v2,2,99
scr-99-0091,screening,91,task-02,2,,v3,3,99
scr-99-0092,screening,92,task-01,6c,,v2,2,99
scr-99-0093,screening,93,task-04,2,,v2,2,99
scr-99-0094,screening,94,task-02,1,,v2,2,99
scr-99-0095,screening,95,task-03,1,,v1,1,99
scr-99-0096,screening,96,task-03,2,,v1,1,99
