run_id,phase,order,task_id,condition_id,baseline_condition_id,variant_id,repetition,seed
scr-17-0001,screening,1,task-11,6c,,v3,5,17
scr-17-0002,screening,2,task-10,1,,v3,6,17
scr-17-0003,screening,3,task-06,6c,,v2,4,17
scr-17-0004,screening,4,task-12,6c,,v3,6,17
scr-17-0005,screening,5,task-07,4,,v2,3,17
scr-17-0006,screening,6,task-03,6a,,v2,4,17
scr-17-0007,screening,7,task-09,2,,v1,1,17
scr-17-0008,screening,8,task-04,6c,,v3,6,17
scr-17-0009,screening,9,task-10,4,,v1,1,17
scr-17-0010,screening,10,task-05,6a,,v2,4,17
scr-17-0011,screening,11,task-07,6b,,v2,4,17
scr-17-0012,screening,12,task-01,2,,v3,6,17
scr-17-0013,screening,13,task-02,6c,,v3,6,17
scr-17-0014,screening,14,task-09,2,,v1,2,17
scr-17-0015,screening,15,task-10,6c,,v2,4,17
scr-17-0016,screening,16,task-11,3,,v3,6,17
scr-17-0017,screening,17,task-03,2,,v3,6,17
scr-17-0018,screening,18,task-01,2,,v2,3,17
scr-17-0019,screening,19,task-04,6b,,v1,1,17
scr-17-0020,screening,20,task-08,1,,v1,2,17
scr-17-0021,screening,21,task-01,3,,v3,5,17
scr-17-0022,screening,22,task-10,6b,,v1,1,17
scr-17-0023,screening,23,task-08,4,,v3,5,17
scr-17-0024,screening,24,task-05,5,,v1,2,17
scr-17-0025,screening,25,task-07,1,,v1,2,17
scr-17-0026,screening,26,task-05,6c,,v1,1,17
scr-17-0027,screening,27,task-03,6b,,v1,2,17
scr-17-0028,screening,28,task-04,5,,v1,2,17
scr-17-0029,screening,29,task-01,4,,v3,6,17
scr-17-0030,screening,30,task-05,2,,v1,2,17
scr-17-0031,screening,31,task-08,3,,v3,5,17
scr-17-0032,screening,32,task-03,6c,,v3,5,17
scr-17-0033,screening,33,task-03,4,,v1,1,17
scr-17-0034,screening,34,task-05,4,,v2,3,17
scr-17-0035,screening,35,task-01,6c,,v2,4,17
scr-17-0036,screening,36,task-03,6c,,v2,4,17
scr-17-0037,screening,37,task-09,4,,v1,1,17
scr-17-0038,screening,38,task-07,2,,v3,6,17
scr-17-0039,screening,39,task-02,6b,,v3,6,17
scr-17-0040,screening,40,task-02,6b,,v2,4,17
scr-17-0041,screening,41,task-04,6b,,v3,5,17
scr-17-0042,screening,42,task-04,6b,,v3,6,17
scr-17-0043,screening,43,task-07,6c,,v3,5,17
scr-17-0044,screening,44,task-10,6c,,v3,6,17
scr-17-0045,screening,45,task-02,1,,v1,2,17
scr-17-0046,screening,46,task-04,6a,,v3,6,17
scr-17-0047,screening,47,task-11,1,,v2,3,17
scr-17-0048,screening,48,task-05,4,,v1,2,17
scr-17-0049,screening,49,task-02,6a,,v2,4,17
scr-17-0050,screening,50,task-08,1,,v2,4,17
scr-17-0051,screening,51,task-03,6c,,v1,1,17
scr-17-0052,screening,52,task-01,1,,v1,1,17
scr-17-0053,screening,53,task-01,5,,v1,1,17
scr-17-0054,screening,54,task-11,4,,v1,1,17
scr-17-0055,screening,55,task-03,5,,v2,3,17
scr-17-0056,screening,56,task-03,3,,v2,3,17
scr-17-0057,screening,57,task-10,3,,v3,6,17
scr-17-0058,screening,58,task-01,4,,v2,4,17
scr-17-0059,screening,59,task-10,5,,v1,1,17
scr-17-0060,screening,60,task-07,6c,,v2,4,17
scr-17-0061,screening,61,task-07,3,,v3,5,17
